name|comment|source|
unalengua|conversor fonético para IPA|https://unalengua.com/ipa-translate?ttsLocale=pt-PT&voiceId=Ines
USP word lists|lista de todas as palavras na língua portuguesa|https://www.ime.usp.br/~pf/dicios/
