prbr                                       ,brbr
$rightarrow$                               ,
a                                          ,
A                                          ,
á                                          ,
à                                          ,
â                                          ,
ä                                          ,
ã                                          ,
abaixo                                     ,
acaba-se                                   ,
acento                                     ,
acentos                                    ,
acentua                                    ,
acentuação                                 ,
acentuadas                                 ,
acentuados                                 ,
achavam-na                                 ,
acima                                      ,
acompanhar                                 ,
acontece                                   ,
acordo                                     ,
Acordo                                     ,
Acrescenta-se                              ,
acrescidos                                 ,
acuradas                                   ,
addbibresourcereferencesbib                ,
Ademais                                    ,
adiante                                    ,
adição                                     ,
adjacentes                                 ,
adotada                                    ,
afinal                                     ,
Agá                                        ,
aglutinam                                  ,
aglutinam-se                               ,
agora                                      ,
Agora                                      ,
aguda                                      ,
agudas                                     ,
agudo                                      ,
aguenta                                    ,
ainda                                      ,
ajuda                                      ,
além                                       ,
alemão                                     ,
alfabética                                 ,
alfabeto                                   ,
Alfabeto                                   ,
algum                                      ,
alguns                                     ,
alternativa                                ,
alternativamente                           ,
alternativas                               ,
aludido                                    ,
alveolar                                   ,
alveolo-palatal                            ,
ambiguidade                                ,
ambíguos                                   ,
âmbito                                     ,
análoga                                    ,
analogamente                               ,
Analogamente                               ,
antepenúltima                              ,
anterior                                   ,
antes                                      ,
antigo                                     ,
antigos                                    ,
antiguidade                                ,
antiquado                                  ,
ao                                         ,
Ao                                         ,
ão                                         ,
aos                                        ,
aparecer                                   ,
aparentes                                  ,
apenas                                     ,
após                                       ,
apresentação                               ,
aproximante                                ,
aquela                                     ,
aquelas                                    ,
aqui                                       ,
Aqui                                       ,
arredondada                                ,
artigo                                     ,
as                                         ,
As                                         ,
às                                         ,
assim                                      ,
Assim                                      ,
até                                        ,
átono                                      ,
authorCao                                  ,
autoevidente                               ,
baiano                                     ,
básico                                     ,
basta                                      ,
bastante                                   ,
batalha                                    ,
batextprimstress                           ,
begindocument                              ,
bem                                        ,
Bittencourt                                ,
Brasil                                     ,
brasileira                                 ,
brasileiras                                ,
brasileiro                                 ,
brasileiros                                ,
brevemente                                 ,
btextturnatextprimstress                   ,
c                                          ,
ç                                          ,
Cá                                         ,
cada                                       ,
capítulo                                   ,
Capítulo                                   ,
capturado                                  ,
característica                             ,
caracteriza                                ,
casa                                       ,
causa                                      ,
Cê-cedilha                                 ,
certo                                      ,
cf                                         ,
ch                                         ,
chamado                                    ,
chave                                      ,
Cita-se                                    ,
citando                                    ,
citar                                      ,
claramente                                 ,
claro                                      ,
clássica                                   ,
coincidir                                  ,
com                                        ,
Com                                        ,
começam                                    ,
começavam                                  ,
